Estacion;Fecha;Hora;Carril 1 ligeros ;Carril 1 pesados;Carril 2 ligeros ;Carril 2 pesados;Carril 3 ligeros ;Carril 3 pesados;Carril 4 ligeros ;Carril 4 pesados;Carril 5 ligeros ;Carril 5 pesados;Carril 6 ligeros ;Carril 6 pesados
00001 ; 24/12/2025 ; 20:00 ; 00341 ; 00009 ; 00000 ; 00000 ; 00000 ; 00000 ; 00225 ; 00010 ; 00111 ; 00005 ; 00000 ; 00000
00001 ; 24/12/2025 ; 21:00 ; 00298 ; 00008 ; 00000 ; 00000 ; 00000 ; 00000 ; 00178 ; 00009 ; 00107 ; 00004 ; 00000 ; 00000
00001 ; 24/12/2025 ; 22:00 ; 00178 ; 00004 ; 00000 ; 00000 ; 00000 ; 00000 ; 00078 ; 00003 ; 00062 ; 00001 ; 00000 ; 00000
00001 ; 24/12/2025 ; 23:00 ; 00066 ; 00000 ; 00000 ; 00000 ; 00000 ; 00000 ; 00035 ; 00001 ; 00015 ; 00000 ; 00000 ; 00000
00001 ; 24/12/2025 ; 24:00 ; 00104 ; 00000 ; 00000 ; 00000 ; 00000 ; 00000 ; 00033 ; 00000 ; 00027 ; 00000 ; 00000 ; 00000
00001 ; 25/12/2025 ; 01:00 ; 00166 ; 00000 ; 00000 ; 00000 ; 00000 ; 00000 ; 00086 ; 00001 ; 00053 ; 00000 ; 00000 ; 00000
00001 ; 25/12/2025 ; 02:00 ; 00116 ; 00002 ; 00000 ; 00000 ; 00000 ; 00000 ; 00062 ; 00003 ; 00049 ; 00001 ; 00000 ; 00000
00001 ; 25/12/2025 ; 03:00 ; 00076 ; 00004 ; 00000 ; 00000 ; 00000 ; 00000 ; 00026 ; 00004 ; 00024 ; 00003 ; 00000 ; 00000
00001 ; 25/12/2025 ; 04:00 ; 00018 ; 00004 ; 00000 ; 00000 ; 00000 ; 00000 ; 00006 ; 00003 ; 00009 ; 00003 ; 00000 ; 00000
00001 ; 25/12/2025 ; 05:00 ; 00017 ; 00003 ; 00000 ; 00000 ; 00000 ; 00000 ; 00006 ; 00004 ; 00004 ; 00002 ; 00000 ; 00000
00001 ; 25/12/2025 ; 06:00 ; 00021 ; 00004 ; 00000 ; 00000 ; 00000 ; 00000 ; 00008 ; 00002 ; 00013 ; 00001 ; 00000 ; 00000
00001 ; 25/12/2025 ; 07:00 ; 00035 ; 00002 ; 00000 ; 00000 ; 00000 ; 00000 ; 00016 ; 00002 ; 00012 ; 00001 ; 00000 ; 00000
00001 ; 25/12/2025 ; 08:00 ; 00042 ; 00004 ; 00000 ; 00000 ; 00000 ; 00000 ; 00041 ; 00002 ; 00035 ; 00001 ; 00000 ; 00000
00001 ; 25/12/2025 ; 09:00 ; 00066 ; 00002 ; 00000 ; 00000 ; 00000 ; 00000 ; 00038 ; 00001 ; 00020 ; 00000 ; 00000 ; 00000
00001 ; 25/12/2025 ; 10:00 ; 00095 ; 00003 ; 00000 ; 00000 ; 00000 ; 00000 ; 00047 ; 00003 ; 00022 ; 00000 ; 00000 ; 00000
00001 ; 25/12/2025 ; 11:00 ; 00144 ; 00004 ; 00000 ; 00000 ; 00000 ; 00000 ; 00086 ; 00005 ; 00040 ; 00003 ; 00000 ; 00000
00001 ; 25/12/2025 ; 12:00 ; 00227 ; 00004 ; 00000 ; 00000 ; 00000 ; 00000 ; 00158 ; 00006 ; 00090 ; 00001 ; 00000 ; 00000
00001 ; 25/12/2025 ; 13:00 ; 00389 ; 00007 ; 00000 ; 00000 ; 00000 ; 00000 ; 00221 ; 00006 ; 00119 ; 00003 ; 00000 ; 00000
00001 ; 25/12/2025 ; 14:00 ; 00452 ; 00005 ; 00000 ; 00000 ; 00000 ; 00000 ; 00258 ; 00004 ; 00154 ; 00002 ; 00000 ; 00000
00001 ; 25/12/2025 ; 15:00 ; 00289 ; 00004 ; 00000 ; 00000 ; 00000 ; 00000 ; 00151 ; 00006 ; 00091 ; 00004 ; 00000 ; 00000
00001 ; 25/12/2025 ; 16:00 ; 00119 ; 00003 ; 00000 ; 00000 ; 00000 ; 00000 ; 00084 ; 00002 ; 00029 ; 00000 ; 00000 ; 00000
00001 ; 25/12/2025 ; 17:00 ; 00171 ; 00005 ; 00000 ; 00000 ; 00000 ; 00000 ; 00104 ; 00004 ; 00049 ; 00001 ; 00000 ; 00000
00001 ; 25/12/2025 ; 18:00 ; 00287 ; 00007 ; 00000 ; 00000 ; 00000 ; 00000 ; 00139 ; 00007 ; 00081 ; 00004 ; 00000 ; 00000
00001 ; 25/12/2025 ; 19:00 ; 00349 ; 00007 ; 00000 ; 00000 ; 00000 ; 00000 ; 00212 ; 00007 ; 00121 ; 00003 ; 00000 ; 00000
00001 ; 25/12/2025 ; 20:00 ; 00302 ; 00010 ; 00000 ; 00000 ; 00000 ; 00000 ; 00219 ; 00008 ; 00104 ; 00003 ; 00000 ; 00000
00001 ; 25/12/2025 ; 21:00 ; 00260 ; 00009 ; 00000 ; 00000 ; 00000 ; 00000 ; 00194 ; 00009 ; 00101 ; 00003 ; 00000 ; 00000
00001 ; 25/12/2025 ; 22:00 ; 00168 ; 00005 ; 00000 ; 00000 ; 00000 ; 00000 ; 00109 ; 00008 ; 00060 ; 00005 ; 00000 ; 00000
00001 ; 25/12/2025 ; 23:00 ; 00098 ; 00005 ; 00000 ; 00000 ; 00000 ; 00000 ; 00064 ; 00007 ; 00027 ; 00003 ; 00000 ; 00000
00001 ; 25/12/2025 ; 24:00 ; 00050 ; 00003 ; 00000 ; 00000 ; 00000 ; 00000 ; 00035 ; 00003 ; 00013 ; 00001 ; 00000 ; 00000
00001 ; 26/12/2025 ; 01:00 ; 00034 ; 00005 ; 00000 ; 00000 ; 00000 ; 00000 ; 00026 ; 00003 ; 00008 ; 00000 ; 00000 ; 00000
00001 ; 26/12/2025 ; 02:00 ; 00032 ; 00003 ; 00000 ; 00000 ; 00000 ; 00000 ; 00013 ; 00001 ; 00006 ; 00001 ; 00000 ; 00000
00001 ; 26/12/2025 ; 03:00 ; 00016 ; 00001 ; 00000 ; 00000 ; 00000 ; 00000 ; 00006 ; 00001 ; 00003 ; 00002 ; 00000 ; 00000
00001 ; 26/12/2025 ; 04:00 ; 00013 ; 00003 ; 00000 ; 00000 ; 00000 ; 00000 ; 00009 ; 00001 ; 00005 ; 00001 ; 00000 ; 00000
00001 ; 26/12/2025 ; 05:00 ; 00027 ; 00000 ; 00000 ; 00000 ; 00000 ; 00000 ; 00020 ; 00000 ; 00012 ; 00002 ; 00000 ; 00000
00001 ; 26/12/2025 ; 06:00 ; 00077 ; 00003 ; 00000 ; 00000 ; 00000 ; 00000 ; 00034 ; 00003 ; 00024 ; 00001 ; 00000 ; 00000
00001 ; 26/12/2025 ; 07:00 ; 00105 ; 00010 ; 00000 ; 00000 ; 00000 ; 00000 ; 00059 ; 00007 ; 00043 ; 00002 ; 00000 ; 00000
